S1E1,Dialogue
BOJACK," Officially, breaking and entering, but I think it was kind of for everything."
MR. PEANUTBUTTER," Ah, a little bit of everything. Like the varied cuisineat your favorite small plate lazy Susan restaurant, right?"
BOJACK, Pardon?
MR. PEANUTBUTTER, Do you have a favorite establishment of that sort?
BOJACK, A favorite small plate lazy Susan restaurant? Hell if I know.
MR. PEANUTBUTTER," BoJack, it means so much that you would say that."
BOJACK, I actually am a little hungry. Where could we get lunch around here?
MR. PEANUTBUTTER, Elefino!
BOJACK," No? Oh, how about the diner? So, do you spend a lot of time with them, as a couple?"
MR. PEANUTBUTTER," Well, I see Princess Carolyn a lot at ""Birthday Dad"" events. Emmys, Golden Globes, Critic's Choice Awards, Peabody Awards. The Nobel Prize for Television they created just for our show. But Judah usually stays home with Ruthie."
BOJACK, I can't believe she's getting married.
MR. PEANUTBUTTER," Thought it would be with you, huh?"
BOJACK," Honestly, I thought it would be with nobody because I wasted all her best years."
MR. PEANUTBUTTER, Turns out her best years are now.
BOJACK," Well, joke's on me. I couldn't even waste the right years. I'm shocked she could get me out for the weekend."
MR. PEANUTBUTTER, When are you getting out for real?
BOJACK, Few months.
MR. PEANUTBUTTER," Wow. What are you gonna do next? Big plans post-big house? Big Momma's House reboot? Reboot of the franchise Big Momma's House, starring you?"
BOJACK, My main goal right now is just not screwing up this weekend.
MR. PEANUTBUTTER, You won't screw it up.
BOJACK, I'm sure I'll find a way. Mm. Can you get me another suit? You think Diane's gonna be there?
MR. PEANUTBUTTER, Everyone's going to be there. It's the party of the year.
BOJACK," I haven't talked to Diane since, uh...What about you? Are you seeing anyone?"
MR. PEANUTBUTTER," Oh, I'm too busy with my show. Those birthdays aren't gonna dad themselves!"
BOJACK, What is this show?
MR. PEANUTBUTTER," Besides, I'm really trying to focus on myself right now. I had this breakthrough recently. One day, in therapy, I just blurted out, ""Is my problem with women any movie directed by Christopher Nolan? Because, yes, women are involved, but it's really never about the women. It's about me."""
BOJACK, That's actually somewhat astute.
MR. PEANUTBUTTER," It occurred to me; Are my self-destructive patterns and unexamined cycles of co-dependency the popular Jim Carrey character The Mask? Because ""somebody stop me""!"
BOJACK, Are all of your breakthroughs phrased like that?
MR. PEANUTBUTTER," Um, are all of my breakthroughs a British prog-rock band from the '70s? Because yes."
BOJACK, Ugh! W-What are we doing here? Is this where the wedding is?
MR. PEANUTBUTTER, I just have to make a real quick stop.
BOJACK, At the Griffith Observatory?
MR. PEANUTBUTTER, I have a press event.
BOJACK, You took me to a press event?
MR. PEANUTBUTTER, It was on the way.
BOJACK, Ah! No. What do you... I can't be here.
MR. PEANUTBUTTER," It'll take 15 minutes, 20 tops. Definitely not more than two and a half hours. Hello, everybody! You all know and love meas the titular Birthday Dad. I've also been known for other roles; Sad Dog, fracking advocate, finder-outer of what Hollywoo stars and celebrities know and whether they know things, but some of you might remember meas the notorious Stealer of the ""D""!"
ALL, Ooh!
MR. PEANUTBUTTER," Now, to celebrate the success of ""Birthday Dad,"" I thought it was time I gave a birthday present back! I called up my favorite sign company and said, ""I wanna give this whole town the 'D'! 'D' for Dad. 'Birthday Dad,' that is!"""
ALL, Yay!
MR. PEANUTBUTTER," So, without further a-dad, let's say goodbye to the era of Hollywoo forever, and say hello to...Holly... woob? Huh? No, I said ""D"" as in ""Birthday Dad."" No, obviously I meant the ""Dad"" part of ""Birthday Dad,"" I assumed that went without saying. Look, I gotta go, but the next time I need a sign made I'm going to strongly considergoing with a different company. Okay, next stop; wedding!"
BOJACK, I'm not ready for this.You gotta take me back to jail.
MR. PEANUTBUTTER," What? Come on, Shawshank, you're gonna be fine."
BOJACK," No, I can't be around people. I can't face them, I'm not ready."
MR. PEANUTBUTTER, What do you think is gonna happen?
BOJACK, I don't know! I never know. I just know that something bad is gonna happen if I go to that wedding.
MR. PEANUTBUTTER," How about this? We'll go to the wedding and if you get there and you wanna leave, we can leave."
BOJACK, Yeah?
MR. PEANUTBUTTER," Yeah. And if you wanna stay, I'll stay there with you. I will not leave your side."
BOJACK, You sure?
MR. PEANUTBUTTER," Of course. I'm here for you, buddy. No matter what. Unless I see my good friend Erica and get distracted by some noteworthy aspect of her character or presentation, but, BoJack,what are the odds that would..."
BOJACK, Ugh. Hmm. Huh.
TODD, BoJack! Thank God I found you!
BOJACK,  What? What is it?
TODD, The fireworks are going to startin ten minutes. There's no time to explain. We need to go down to the beach so I can sit on your shoulders!
BOJACK, What? Why?
TODD," I just said there's no time to explain! Did you go to jail for being a bad listener? Come on, we gotta go!"
BOJACK,  Okay.
TODD," Whoa! Ho-oh! Oh, wow! That's like a 3-D one!"
BOJACK, So... why did we need to be on the beach?
TODD," Oh, you just seemed really overwhelmed at the party. I thought you could use some air."
BOJACK, Oh. Thanks. But then why are you on my shoulders?
TODD, So I could get a better view of the fireworks.
BOJACK," Okay, get down. Oh, okay."
TODD, It's good to see you. How'd you get out of the supermax? Did a helicopter crash into the side of the building and then you just walked out?
BOJACK, What? No. I'm just here for the wedding. I'm going back tomorrow.
TODD," Oh, bummer."
BOJACK," No, it's good. I think the routine is good for me. I'm staying out of trouble, at least."
TODD," Hooray! Staying out of trouble, at least!"
BOJACK," I'm trying to set little goals for myself. Like, in a couple months, I'll beat my record for being sober."
TODD, Nice!
BOJACK," Yeah, so that's...that's something to aim for, but then, uh, after that, um..."
TODD," After that, you'll beat your record again. Every day, you'll set a new record."
BOJACK, Sure. But it's easy now. In jail. I don't have to make any choices for myself. I worry about what's gonna happen when I get out. What if I relapse again?
TODD, Then you'll get sober again. Let me tell you something.
TODD," I was at the office the other day, doing the ""Hokey Pokey""with some work associates..."
BOJACK, Uh-huh.
TODD, ...and I realized everyone misunderstands that song.
BOJACK," ""The Hokey Pokey""?"
TODD," Yeah, there's way too much emphasison the ""hokey pokey"" part."
BOJACK, That is what it's all about.
TODD, No. That's exactly what I mean. That's not what the song is saying.
BOJACK, Okay.
TODD," And I was thinking about my mom, you know, my relationship with my mom. It's weird. You know, awkward. I feel like she doesn't really get me, but, you know, she's trying. And a couple years ago, I never thought I would have any kind of relationship with her. Like, I was sure of it."
BOJACK, What changed?
TODD," I don't know. I did? Or- Or she did? Or, um, we... are?"
BOJACK, Huh.
TODD," So, that's what I'm talking about. It's like the song says. ""You do the hokey pokey and you turn yourself around."" You turn yourself around. That's what it's all about."
BOJACK," Yeah, I don't know if the song writers put that much thought into the existential significance of the lyrics. They literally rhyme ""about"" with ""about."""
TODD, But isn't the point of art less what people put into it and more what people get out of it?
BOJACK, Is that the point of art?
TODD, Maybe. Or maybe art doesn't need a point. Maybe that's why it's called art.
BOJACK, I can't tell if you're being smart or stupid.
TODD," Oh, I never know."
BOJACK, I think you had it for a moment and then you lost it.
TODD," Oh, well!It was nice while it lasted, right?"
BOJACK, Sure. It was nice while it lasted.
BOJACK, Ugh! Huh! Not bad.
PRINCESS CAROLYN," Hey, there he is!"
BOJACK," Oh, my God,that was an incredible wedding."
PRINCESS CAROLYN," Yeah? It wasn't too much with the fireworks, and the cirque performers, and the procession of exotic peafowl?"
BOJACK," No, you produced the hell out of it."
PRINCESS CAROLYN, What'd you think about the part where the priest got murdered and Judah had to figure out which bridesmaid was the culprit?
BOJACK," A little outside the box, as far as weddings go, but it worked in context."
PRINCESS CAROLYN," I thought so, too!"
BOJACK," Congratulations. And Judah, too. Where is he?"
PRINCESS CAROLYN," I think he's going over some contracts. We're putting together an all-female reboot of 12 Angry Men. It's called ""11 Angry Women."""
BOJACK, Not 12?
PRINCESS CAROLYN, You gotta leave room for a sequel. 
BOJACK, So your groom is doing paperwork during his own wedding reception?
PRINCESS CAROLYN," Oh, we had our real wedding a week ago. This one's just for the industry."
BOJACK, What?
PRINCESS CAROLYN," I invited the town's top talent, took away their phones, and shuffled them together. Give 'em some booze, get 'em chatty, next day, they're calling me, ""Hey, could you put me in touch with so-and-so?"" Boom! I've attached myself as a producer!"
BOJACK, Does that really work?
PRINCESS CAROLYN," Hey, Jennifer Jason Leigh! Have you met regular Jason Lee? You're my two favorite Jason Lees. Discuss."
BOJACK," Well, I am offended I wasn't important enough for your real wedding, but I'm flattered I'm important enough for your industry one."
PRINCESS CAROLYN," Are you kidding? ""Horny Unicorn"" is tracking huge."
BOJACK, What?
PRINCESS CAROLYN, All of Hollywoob is buzzing about your comeback.
BOJACK," No. Did you say ""Hollywoob""?"
PRINCESS CAROLYN," If this movie does what it's supposed to, the district attorney's not the only one who's gonna wanna lock you into something."
BOJACK," I'm not sure I should take on more projects. I started this drama program at prison and we're doing Hedda Gabler. I mean, it's not Strindberg, but, you know, we're having a good time. I thought that maybe when I got out, I could go back and volunteer."
PRINCESS CAROLYN," Oh! Well, that sounds fabulous!"
BOJACK," Yeah, but...  I didn't even think that I'd have other options. A year ago, everyone in this town hated me."
PRINCESS CAROLYN, People have short memories. It's the best and worst thing about people.
BOJACK," Well, maybe there's a way I could do both? I've really enjoyed teaching. "
PRINCESS CAROLYN, Oh! Oh. 
BOJACK, Maybe I could direct something?
PRINCESS CAROLYN, I'm sorry I said anything. I-
BOJACK," Well, I mean, hold on. Yeah, I shouldn't just jump into something, but if there's a good opportunity, I'd be stupid not to take it, right? I mean, we both know how hard it is to get heat in this town."
PRINCESS CAROLYN," Think it over. I'm sure you'll make the right decision. Well, a decision."
BOJACK," Hey, you wanna dance?"
PRINCESS CAROLYN, Yeah.
BOJACK, What?
PRINCESS CAROLYN, Oh! Aw.
BOJACK," You know, I had this weird idea when I heard you were getting married that I'd get here and there'd be some disaster, and I knew that either I would cause it or, just maybe, I would be the only one who could fix it."
